,Symbol,ETF Name
0,VGK,Vanguard FTSE Europe ETF
1,EZU,iShares MSCI EMU ETF
2,HEDJ,WisdomTree Europe Hedged Equity Fund
3,IEUR,iShares Core MSCI Europe ETF
5,FEZ,SPDR EURO STOXX 50 ETF
6,EWG,iShares MSCI Germany ETF
7,IEV,iShares Europe ETF
8,EWU,iShares MSCI United Kingdom ETF
9,HEZU,iShares Currency Hedged MSCI Eurozone ETF
10,EWP,iShares MSCI Spain ETF
11,EWL,iShares MSCI Switzerland ETF
12,DBEU,Xtrackers MSCI Europe Hedged Equity Fund
13,DFE,WisdomTree Europe SmallCap Dividend
15,EUFN,iShares MSCI Europe Financials ETF
16,FEP,First Trust Europe AlphaDEX Fund
17,EWQ,iShares MSCI France ETF
19,FDD,First Trust STOXX European Select Dividend Index Fund
21,GREK,Global X FTSE Greece 20 ETF
22,EWI,iShares MSCI Italy ETF
23,EWD,iShares MSCI Sweden ETF
24,HEWG,iShares Currency Hedged MSCI Germany ETF
25,FEU,SPDR STOXX Europe 50 ETF
26,IEUS,iShares MSCI Europe Small-Cap ETF
27,FSZ,First Trust Switzerland AlphaDEX Fund
28,GVAL,Cambria Global Value ETF
29,FGM,First Trust Germany AlphaDEX Fund
30,EWN,iShares MSCI Netherlands ETF
31,EUSC,WisdomTree Europe Hedged SmallCap Equity Fund
32,NORW,Global X MSCI Norway ETF
34,EWO,iShares MSCI Austria ETF
36,EDEN,iShares MSCI Denmark ETF
37,EIRL,iShares MSCI Ireland ETF
38,FEUZ,First Trust Eurozone AlphaDEX ETF
39,DXGE,WisdomTree Germany Hedged Equity Fund
40,EWUS,iShares MSCI United Kingdom Small-Cap ETF
41,EWK,iShares MSCI Belgium ETF
42,EURL,Direxion Daily FTSE Europe Bull 3x Shares
43,ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund
44,EUDG,WisdomTree Europe Dividend Growth Fund
45,EWGS,iShares MSCI Germany Small-Cap ETF
46,WBIA,WBI Bull|Bear Rising Income 2000 ETF
47,DBEZ,Xtrackers MSCI EMU Hedged Equity ETF
49,ENOR,iShares MSCI Norway ETF
50,EUMV,iShares Edge MSCI Min Vol Europe ETF
51,EFNL,iShares MSCI Finland ETF
53,OEUR,O'Shares FTSE Europe Quality Dividend ETF
54,PGAL,Global X MSCI Portugal ETF
55,GXF,Global X FTSE Nordic Region ETF
56,DBGR,Xtrackers MSCI Germany Hedged Equity Fund
58,SMEZ,SPDR EURO STOXX Small Cap ETF
60,EPV,ProShares UltraShort Europe
61,HEWU,iShares Currency Hedged MSCI United Kingdom ETF
62,DAX,Global X DAX Germany ETF
63,ADRU,Invesco BLDRS Europe Select ADR Index Fund
64,HEWP,iShares Currency Hedged MSCI Spain ETF
66,EUDV,ProShares MSCI Europe Dividend Growers ETF
68,HFXE,IQ 50 Percent Hedged FTSE Europe ETF
70,ZGBR,SPDR Solactive United Kingdom ETF
71,FKU,First Trust United Kingdom AlphaDEX Fund
72,ZDEU,SPDR Solactive Germany ETF
75,UPV,ProShares Ultra Europe
76,HEWL,iShares Currency Hedged MSCI Switzerland ETF
78,EDOM,WisdomTree Europe Local Recovery Fund
85,DBUK,Xtrackers MSCI United Kingdom Hedged Equity Fund
86,GRMY,Xtrackers Germany Equity ETF
88,HEWI,iShares Currency Hedged MSCI Italy ETF
89,EURZ,Xtrackers Eurozone Equity ETF
